Population,Family_ID,Seed,label,Time_to_germination,Row,Column,Days_to_flower,Num_Inf,HCN_Results,Reprod_biomass,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_petiole_lgth,Avg_peducle_lgth,Avg_num_flwrs,Avg_leaf_wdth,Avg_leaf_lgth,Avg_stolon_thick,Avg_seeds_per_flower,Latitude,Longitude,Distance_to_core,Distance_to_cg
24,3,5,24-3-5,4,1,1,73,8,0,0.36680000000000046,1.4043999999999999,3.408333333333333,5.073333333333333,373.3333333333333,63.75666666666666,32.5,7.6466666666666665,9.2,1.6,NA,43.444847,-79.800063,41.184706639575694,16.06986639751832
20,6,1,20-6-1,4,1,2,63,17,0,0.8208000000000002,1.4014000000000006,3.578333333333333,5.3116666666666665,493.3333333333333,71.58333333333333,45,10.133333333333333,13.73,1.7000000000000002,NA,43.518649,-79.75084,33.52969169255897,7.898377046421379
22,2,1,22-2-1,5,1,3,64,21,0,1.0698000000000003,3.599400000000001,3.2933333333333334,6.923333333333334,490,102.53333333333333,35,10.476666666666667,12.033333333333333,1.495,2.8601190476190474,43.479071,-79.761802,36.4997112536466,11.191478550978925
17,3,1,17-3-1,4,1,4,49,16,0,1.0698000000000003,1.3524000000000003,3.8183333333333334,6.261666666666667,460,106.30666666666667,44,10.57,11.18,1.815,1.625,43.58858,-79.69878,26.712604213541383,5.246219840707324
22,2,4,22-2-4,5,1,5,62,12,0,1.0698000000000003,1.1504000000000003,3.0966666666666667,4.93,503.3333333333333,71.21,38.5,10.04,9.15,1.8,1.1818181818181819,43.479071,-79.761802,36.4997112536466,11.191478550978925
1,7,4,1-7-4,6,1,6,NA,0,0,0,5.4994,NA,NA,240,NA,0,8.836666666666666,10.030000000000001,1.24,NA,43.651374,-79.405525,2.09634395245024,23.59696534330296
8,4,3,8-4-3,8,1,7,60,45,0,2.5998000000000006,3.067400000000001,3.783333333333333,6.39,406.6666666666667,117.43333333333334,54,11.416666666666666,12.363333333333333,1.5,1.3501742160278747,43.701041,-79.511142,11.648537370864588,20.803590289148442
13,4,4,13-4-4,4,1,8,NA,0,0,0,4.202400000000001,NA,NA,353.3333333333333,NA,0,9.943333333333333,11.01,1.645,NA,43.641963,-79.631233,20.25081019161363,10.596965947834507
5,8,2,5-8-2,3,1,9,76,19,0,1.2268000000000003,5.1594,3.138333333333333,6.191666666666666,353.3333333333333,110.28666666666666,37.5,10.37,12.106666666666666,1.475,2.200568990042674,43.722385,-79.426597,8.257243194042573,27.02718186329092
17,3,4,17-3-4,3,1,10,68,11,0,0.6118000000000001,2.6794000000000002,4.068333333333333,6.511666666666667,636.6666666666666,107.92333333333333,34,11.576666666666666,12.459999999999999,1.92,NA,43.58858,-79.69878,26.712604213541383,5.246219840707324
