"","Population","Individual","Num.Flwrs","Num.Seeds","Comments"
"1",1,2,13,19,NA
"2",1,3,63,150,NA
"3",1,4,60,158,NA
"4",1,5,24,8,NA
"5",1,6,17,21,NA
"6",1,7,31,46,NA
"7",1,8,29,30,NA
"8",1,9,24,15,NA
"9",1,10,31,50,NA
"10",1,11,25,3,NA
"11",1,12,24,36,NA
"12",1,13,20,8,NA
"13",1,14,27,111,NA
"14",1,15,27,41,NA
"15",1,16,16,33,NA
"16",1,17,31,21,NA
"17",1,18,36,36,NA
"18",1,19,16,14,NA
"19",1,20,13,21,NA
"20",2,1,29,57,NA
"21",2,2,63,88,NA
"22",2,3,51,59,NA
"23",2,4,69,63,NA
"24",2,5,57,115,NA
"25",2,6,56,91,NA
"26",2,7,38,39,NA
"27",2,8,67,84,NA
"28",2,9,77,128,NA
"29",2,10,46,45,NA
"30",2,11,43,93,NA
"31",2,12,58,87,NA
"32",2,13,47,98,NA
"33",2,14,44,83,NA
"34",2,15,74,107,NA
"35",2,16,74,139,NA
"36",2,17,56,103,NA
"37",2,18,58,102,NA
"38",2,19,65,129,NA
"39",2,20,66,189,NA
"40",3,1,51,51,NA
"41",3,2,51,120,NA
"42",3,3,43,64,NA
"43",3,4,54,125,NA
"44",3,5,60,68,NA
"45",3,6,69,101,NA
"46",3,7,50,49,NA
"47",3,8,62,64,NA
"48",3,9,57,65,NA
"49",3,10,38,79,NA
"50",3,11,43,104,NA
"51",3,12,56,44,NA
"52",3,13,60,145,NA
"53",3,14,29,24,NA
"54",3,15,27,26,NA
"55",3,16,57,86,NA
"56",3,17,50,25,NA
"57",3,18,37,32,NA
"58",3,19,62,36,NA
"59",3,20,43,38,NA
"60",4,1,12,13,NA
"61",4,2,35,14,NA
"62",4,3,32,33,NA
"63",4,4,19,7,NA
"64",4,5,15,10,NA
"65",4,6,35,6,NA
"66",4,7,32,46,NA
"67",4,8,33,18,NA
"68",4,9,22,6,NA
"69",4,10,20,28,NA
"70",4,11,29,12,NA
"71",4,12,38,27,NA
"72",4,14,18,32,NA
"73",4,15,31,26,NA
"74",4,16,23,37,NA
"75",4,17,39,43,NA
"76",4,18,26,8,NA
"77",4,19,43,31,NA
"78",4,20,22,55,NA
"79",5,1,22,36,NA
"80",5,2,21,14,NA
"81",5,3,15,36,NA
"82",5,4,38,78,NA
"83",5,5,10,4,NA
"84",5,6,27,23,NA
"85",5,7,22,30,NA
"86",5,8,44,46,NA
"87",5,9,28,14,NA
"88",5,10,15,12,NA
"89",5,11,21,22,NA
"90",5,12,34,23,NA
"91",5,13,18,2,NA
"92",5,14,10,5,NA
"93",5,15,43,0,NA
"94",5,16,47,146,NA
"95",5,17,23,19,NA
"96",5,18,46,104,NA
"97",5,19,45,61,NA
"98",5,20,30,32,NA
"99",6,1,11,5,NA
"100",6,2,17,15,NA
"101",6,3,20,30,NA
"102",6,4,19,14,NA
"103",6,5,41,24,NA
"104",6,6,30,2,NA
"105",6,7,17,5,NA
"106",6,8,13,26,NA
"107",6,9,11,11,NA
"108",6,10,22,22,NA
"109",6,11,19,16,NA
"110",6,12,33,38,NA
"111",6,13,17,1,NA
"112",6,14,12,13,NA
"113",6,15,29,20,NA
"114",6,16,36,29,NA
"115",6,17,24,42,NA
"116",6,18,45,22,NA
"117",6,19,32,40,NA
"118",6,20,21,20,NA
"119",7,1,30,0,NA
"120",7,2,23,9,NA
"121",7,3,27,38,NA
"122",7,4,32,26,NA
"123",7,5,14,6,NA
"124",7,6,22,10,NA
"125",7,7,33,34,NA
"126",7,8,25,39,NA
"127",7,9,37,37,NA
"128",7,10,22,5,NA
"129",7,11,23,5,NA
"130",7,12,27,9,NA
"131",7,13,30,28,NA
"132",7,14,31,18,NA
"133",7,15,13,3,NA
"134",7,16,28,23,NA
"135",7,17,30,15,NA
"136",7,18,30,17,NA
"137",7,19,32,7,NA
"138",7,20,44,24,NA
"139",8,1,14,26,NA
"140",8,2,31,60,NA
"141",8,3,19,39,NA
"142",8,4,38,62,NA
"143",8,5,24,26,NA
"144",8,6,31,61,NA
"145",8,7,22,29,NA
"146",8,9,35,58,NA
"147",8,10,18,29,NA
"148",8,11,26,8,NA
"149",8,12,35,51,NA
"150",8,13,21,36,NA
"151",8,14,44,90,NA
"152",8,15,19,48,NA
"153",8,16,38,86,NA
"154",8,17,23,24,NA
"155",8,18,39,108,NA
"156",8,19,38,35,NA
"157",8,20,24,12,NA
"158",9,1,20,19,NA
"159",9,2,32,12,NA
"160",9,3,26,5,NA
"161",9,4,16,0,NA
"162",9,5,11,7,NA
"163",9,6,31,41,NA
"164",9,7,22,38,NA
"165",9,8,15,21,NA
"166",9,9,34,45,NA
"167",9,10,24,31,NA
"168",9,11,36,49,NA
"169",9,12,32,40,NA
"170",9,13,29,19,NA
"171",9,14,41,43,NA
"172",9,15,23,32,NA
"173",9,16,56,79,NA
"174",9,17,20,0,NA
"175",9,18,29,0,NA
"176",9,19,16,23,NA
"177",9,20,31,35,NA
"178",10,1,64,151,NA
"179",10,2,22,8,NA
"180",10,3,26,34,NA
"181",10,4,36,87,NA
"182",10,5,5,3,NA
"183",10,6,24,50,NA
"184",10,7,10,10,NA
"185",10,8,22,66,NA
"186",10,9,23,36,NA
"187",10,10,14,17,NA
"188",10,11,31,50,NA
"189",10,12,26,54,NA
"190",10,13,36,76,NA
"191",10,14,46,103,NA
"192",10,15,34,21,NA
"193",10,16,38,82,NA
"194",10,17,28,29,NA
"195",10,18,32,45,NA
"196",10,19,21,36,NA
"197",10,20,28,26,NA
