Population,maternal_plant,Family_ID,seeds,label,Date_planted,Germination_date,Time_to_germination,Is.germinated,Row,Column ,Date_flower_start,Days_to_first_flower,Bnr_wdth1.1,Bnr_length1.1,Bnr_wdth1.2,Bnr_length1.2,Bnr_wdth1.3,Bnr_length1.3,Bnr_wdth2.1,Bnr_length2.1,Bnr_wdth2.2,Bnr_length2.2,Bnr_wdth2.3,Bnr_length2.3,Inflor_height1,Inflor_height2,Inflor_height3,Number of flowers_inflorescences 1,Number of flowers_inflorescences 2,Number of inflorescences ,width_leaf1,length_leaf1,heigth_leaf1,width_leaf2,length_leaf2,heigth_leaf2,width_leaf3,length_leaf3,heigth_leaf3,Width_stolon1,Width_stolon2,weigth_flowers+bag,weigth_plant+bag,HCN_Results,Comments_HCN
24,6,3,5,24-3-5,2017-04-27,2017-05-01,4,1,1,1,2017-07-13,73,3.6,5.4,3.65,4.95,3.72,5.34,3.4,4.79,3.1,4.78,2.98,5.18,46.35,71.32,73.6,44,21,8,6.43,7.97,320,8.15,9.37,300,8.36,10.26,500,1.48,1.72,3.446,6.701,0,
20,9,6,1,20-6-1,2017-04-27,2017-05-01,4,1,1,2,2017-07-03,63,3.71,5.06,3.8,5.44,3.69,5.19,3.82,5.78,3.32,5.42,3.13,4.98,92.15,86.3,36.3,42,48,17,10.72,13.82,410,9.93,14.4,530,9.75,12.97,540,1.8,1.6,3.9,6.698,0,
22,5,2,1,22-2-1,2017-04-27,2017-05-02,5,1,1,3,2017-07-05,64,3.87,7.8,3.4,7.4,3.08,7.21,3.25,6.23,2.9,6.49,3.26,6.41,83.95,115.23,108.42,34,36,21,10.7,13.6,450,9.83,10.5,470,10.9,12,550,1.46,1.53,4.149,8.896,0,
17,6,3,1,17-3-1,2017-04-26,2017-04-30,4,1,1,4,2017-06-18,49,3.42,5.88,3.86,6.39,3.73,5.82,3.76,6.26,4.2,7.27,3.94,5.95,107.5,104.4,107.02,39,49,16,11.45,11.77,510,9.5,8.88,440,10.76,12.89,430,1.8,1.83,4.149,6.649,0,
22,5,2,4,22-2-4,2017-04-27,2017-05-02,5,1,1,5,2017-07-03,62,3.16,5.39,3.66,5.28,3.18,4.86,3,4.74,2.94,4.54,2.64,4.77,63.34,68.1,82.19,39,38,12,8.52,9.9,500,10.73,8.23,420,10.87,9.32,590,1.81,1.79,4.149,6.447,0,
1,11,7,4,1-7-4,2017-04-25,2017-05-01,6,1,1,6,,#NUM!,,,,,,,,,,,,,,,,,,0,10.57,11.4,210,8.85,10.38,270,7.09,8.31,240,1.2,1.28,,10.796,0,
8,5,4,3,8-4-3,2017-04-26,2017-05-04,8,1,1,7,2017-07-03,60,3.64,6.74,3.96,7.05,3.68,5.86,3.84,5.83,3.9,6.93,3.68,5.93,108.48,106.83,136.99,59,49,45,6.75,8.04,480,14.07,15.01,430,13.43,14.04,310,1.48,1.52,5.679,8.364,0,
13,5,4,4,13-4-4,2017-04-26,2017-04-30,4,1,1,8,,#NUM!,,,,,,,,,,,,,,,,,,0,10.82,12.41,320,9.27,9.74,460,9.74,10.88,280,1.69,1.6,,9.499,0,
5,4,8,2,5-8-2,2017-04-25,2017-04-28,3,1,1,9,2017-07-13,76,3.22,5.88,3.08,5.97,3.3,6.46,3.02,6.66,3.18,5.59,3.03,6.59,114.75,111.12,104.99,40,35,19,9.23,11.29,300,9.51,10.28,340,12.37,14.75,420,1.4,1.55,4.306,10.456,0,
17,6,3,4,17-3-4,2017-04-26,2017-04-29,3,1,1,10,2017-07-06,68,3.99,4.93,4.18,6.58,3.91,6.7,4.02,6.77,4.27,7.06,4.04,7.03,84.3,101.06,138.41,45,23,11,12.6,13.1,600,11.15,12.87,620,10.98,11.41,690,1.8,2.04,3.691,7.976,0,
26,3,8,4,26-8-4,2017-04-27,2017-04-30,3,1,1,11,2017-07-03,64,3.33,5.64,2.86,4.51,2.95,6.01,3.97,7.11,3.6,7.04,3.58,6.85,89.34,82.89,100.52,46,39,30,8.13,10.27,310,9.01,11.54,320,10.14,14.79,310,1.38,1.44,4.881,9.543,1,
15,4,2,3,15-2-3,2017-04-26,2017-05-02,6,1,1,12,2017-07-02,61,3.95,6.19,3.79,6.72,3.92,5.91,3.65,5.8,3.45,6.28,3.68,6.51,124.35,134.02,118.52,75,41,21,9.07,9.59,620,10.74,11.44,690,10.28,11.23,570,1.37,1.18,5.076,7.389,0,
25,7,5,2,25-5-2,2017-04-27,2017-05-05,8,1,1,13,2017-06-30,56,3.8,6.48,3.5,5.35,3.51,6.34,3.68,6.39,4.18,6.75,3.81,7.12,99.04,120.58,111.44,64,57,9,9.34,13.14,620,11.56,15.14,570,10.64,11.66,560,1.72,1.85,4.016,7.499,1,
