Date,Population,Num_Inf,Pollinator,Num_Visit,Morph,Observer,Comments
02/08/2017,1,40,1,2,Bumble Bee,James,
02/08/2017,1,57,1,4,Bumble Bee,Simon,
02/08/2017,1,57,2,1,Honey Bee,Simon,
02/08/2017,1,57,3,13,Syrphid,Simon,
02/08/2017,1,57,4,3,Syrphid,Simon,
02/08/2017,2,19,1,2,Bumble Bee,James,
02/08/2017,2,19,2,1,Bumble Bee,James,
02/08/2017,2,19,3,1,Bumble Bee,James,
02/08/2017,2,19,4,1,Bumble Bee,James,
02/08/2017,2,19,5,2,Bumble Bee,James,
02/08/2017,2,32,1,6,Bumble Bee,Simon,
02/08/2017,2,32,2,21,Bumble Bee,Simon,
02/08/2017,2,32,3,4,Syrphid,Simon,
02/08/2017,3,47,1,5,Sweat Bee,James,
02/08/2017,3,47,2,10,Sweat Bee,James,
02/08/2017,3,47,3,17,Bumble Bee,James,
02/08/2017,3,47,4,5,Bumble Bee,James,
02/08/2017,3,47,5,2,Bumble Bee,James,
02/08/2017,3,47,6,5,Bumble Bee,James,
02/08/2017,3,47,7,1,Bumble Bee,James,
02/08/2017,3,47,8,3,Bumble Bee,James,
02/08/2017,3,47,9,1,Sweat Bee,James,
02/08/2017,3,47,10,1,Sweat Bee,James,
02/08/2017,3,47,11,11,Sweat Bee,James,
02/08/2017,3,53,1,6,Syrphid,Simon,
02/08/2017,3,53,2,5,Syrphid,Simon,
02/08/2017,3,53,3,5,Syrphid,Simon,
02/08/2017,3,53,4,6,Syrphid,Simon,
02/08/2017,3,53,5,1,Syrphid,Simon,
02/08/2017,3,53,6,7,Bumble Bee,Simon,
02/08/2017,3,53,7,10,Syrphid,Simon,
02/08/2017,3,53,8,6,Syrphid,Simon,
02/08/2017,3,53,9,8,Syrphid,Simon,
02/08/2017,4,38,1,26,Bumble Bee,James,
02/08/2017,4,38,2,9,Bumble Bee,James,
02/08/2017,4,81,1,1,Bumble Bee,Simon,
02/08/2017,4,81,2,2,Syrphid,Simon,
02/08/2017,4,81,3,12,Bumble Bee,Simon,
02/08/2017,4,81,4,1,Syrphid,Simon,
02/08/2017,5,34,1,2,Bumble Bee,James,
02/08/2017,5,34,2,2,Bumble Bee,James,
02/08/2017,5,34,3,1,Bumble Bee,James,
02/08/2017,5,34,4,1,Bumble Bee,James,
02/08/2017,5,34,5,4,Bumble Bee,James,
02/08/2017,5,34,6,3,Bumble Bee,James,
02/08/2017,5,34,7,8,Bumble Bee,James,
02/08/2017,5,34,8,2,Bumble Bee,James,
02/08/2017,5,34,9,3,Bumble Bee,James,
02/08/2017,5,34,10,15,Bumble Bee,James,
02/08/2017,5,34,11,9,Bumble Bee,James,
02/08/2017,5,34,12,6,Bumble Bee,James,
02/08/2017,5,34,13,4,Bumble Bee,James,
02/08/2017,5,21,1,3,Bumble Bee,Simon,
02/08/2017,5,21,2,3,Syrphid,Simon,
02/08/2017,5,21,3,1,Syrphid,Simon,
02/08/2017,5,21,4,13,Bumble Bee,Simon,
09/08/2017,6,44,1,18,Bumble Bee,James,
09/08/2017,6,44,2,3,Bumble Bee,James,
09/08/2017,6,44,3,1,Bumble Bee,James,
09/08/2017,6,44,4,2,Bumble Bee,James,
09/08/2017,6,48,1,2,Syrphid,Simon,
09/08/2017,6,48,2,1,Syrphid,Simon,
09/08/2017,6,48,3,1,Syrphid,Simon,
09/08/2017,6,48,4,34,Bumble Bee,Simon,
09/08/2017,6,48,5,1,Syrphid,Simon,
09/08/2017,7,66,1,1,Bumble Bee,James,
09/08/2017,7,66,2,4,Bumble Bee,James,
09/08/2017,7,66,3,5,Honey Bee,James,
09/08/2017,7,66,4,4,Honey Bee,James,
09/08/2017,7,66,5,5,Bumble Bee,James,
09/08/2017,7,66,6,6,Bumble Bee,James,
09/08/2017,7,84,1,1,Syrphid,Simon,
09/08/2017,7,84,2,18,Sweat Bee,Simon,
09/08/2017,8,40,1,1,Honey Bee,James,
09/08/2017,8,40,2,21,Honey Bee,James,
09/08/2017,8,40,3,14,Honey Bee,James,
09/08/2017,8,40,4,7,Honey Bee,James,
09/08/2017,8,40,5,5,Honey Bee,James,
09/08/2017,8,40,6,14,Honey Bee,James,
09/08/2017,8,40,7,7,Honey Bee,James,
09/08/2017,8,40,8,1,Honey Bee,James,
09/08/2017,8,40,9,2,Honey Bee,James,
09/08/2017,8,40,10,7,Honey Bee,James,
09/08/2017,8,40,11,2,Honey Bee,James,
09/08/2017,8,45,1,7,Honey Bee,Simon,
09/08/2017,8,45,2,1,Syrphid,Simon,
09/08/2017,9,42,NA,0,NA,James,Breeze picked up
09/08/2017,9,60,1,1,Syrphid,Simon,
09/08/2017,10,60,1,11,Bumble Bee,James,
09/08/2017,10,60,2,1,Bumble Bee,James,
09/08/2017,10,29,1,2,Sweat Bee,Simon,
09/08/2017,10,29,2,1,Sweat Bee,Simon,
09/08/2017,10,29,3,1,Sweat Bee,Simon,
09/08/2017,11,94,NA,0,NA,James,
09/08/2017,11,61,1,7,Honey Bee,Simon,
09/08/2017,11,61,2,2,Honey Bee,Simon,
09/08/2017,11,61,3,13,Honey Bee,Simon,
09/08/2017,11,61,4,2,Honey Bee,Simon,
09/08/2017,11,61,5,6,Bumble Bee,Simon,
09/08/2017,11,61,6,4,Honey Bee,Simon,
09/08/2017,12,61,1,4,Sweat Bee,James,
09/08/2017,12,48,1,8,Sweat Bee,Simon,
09/08/2017,13,39,1,9,Sweat Bee,James,
09/08/2017,13,33,1,10,Sweat Bee,Simon,
11/08/2017,14,68,NA,0,NA,James,
11/08/2017,14,87,NA,0,NA,Simon,
11/08/2017,15,54,NA,0,NA,James,
11/08/2017,15,81,1,2,Syrphid,Simon,
11/08/2017,15,81,2,1,Syrphid,Simon,
11/08/2017,16,68,1,13,Honey Bee,James,
11/08/2017,16,66,NA,0,NA,Simon,
02/08/2017,17,40,1,2,Syrphid,James,Wind picked up
02/08/2017,17,40,2,2,Honey Bee,James,Wind picked up
02/08/2017,17,112,NA,0,NA,Simon,
02/08/2017,18,28,NA,0,NA,James,
02/08/2017,18,28,1,1,Syrphid,Simon,
02/08/2017,18,28,2,1,Syrphid,Simon,
02/08/2017,19,75,1,5,Honey Bee,James,
02/08/2017,19,91,1,13,Honey Bee,Simon,
02/08/2017,19,91,2,4,Honey Bee,Simon,
02/08/2017,20,42,NA,0,NA,James,
02/08/2017,20,49,1,14,Bumble Bee,Simon,
02/08/2017,21,67,1,6,Sweat Bee,James,
02/08/2017,21,67,2,2,Honey Bee,James,
02/08/2017,21,67,3,20,Honey Bee,James,
02/08/2017,21,67,4,6,Honey Bee,James,
02/08/2017,21,67,5,3,Honey Bee,James,
02/08/2017,21,67,6,8,Honey Bee,James,
02/08/2017,21,104,1,2,Sweat Bee,Simon,
01/08/2017,22,24,1,5,Honey Bee,Cindy,
01/08/2017,22,49,1,10,Honey Bee,James,
01/08/2017,23,42,1,7,Honey Bee,Cindy,
01/08/2017,23,42,2,4,Honey Bee,Cindy,
01/08/2017,23,42,3,6,Honey Bee,Cindy,
01/08/2017,23,48,1,1,Syrphid,James,
01/08/2017,24,50,NA,0,NA,Cindy,
01/08/2017,24,48,1,2,Honey Bee,James,
01/08/2017,25,71,1,2,Sweat Bee,Cindy,
01/08/2017,25,71,2,26,Honey Bee,Cindy,
01/08/2017,25,71,3,9,Honey Bee,Cindy,
01/08/2017,25,71,4,9,Honey Bee,Cindy,
01/08/2017,25,71,5,1,Honey Bee,Cindy,
01/08/2017,25,74,1,3,Honey Bee,James,
01/08/2017,25,74,2,21,Honey Bee,James,
01/08/2017,25,74,3,2,Honey Bee,James,
01/08/2017,26,32,1,2,Sweat Bee,Cindy,
01/08/2017,26,32,2,2,Sweat Bee,Cindy,
01/08/2017,26,32,3,5,Sweat Bee,Cindy,
01/08/2017,26,32,4,1,Sweat Bee,Cindy,
01/08/2017,26,34,1,1,Syrphid,James,Small pop. Mowed. Few fruits
01/08/2017,26,34,2,20,Honey Bee,James,Small pop. Mowed. Few fruits
01/08/2017,26,34,3,1,Syrphid,James,Small pop. Mowed. Few fruits
01/08/2017,26,34,4,2,Syrphid,James,Small pop. Mowed. Few fruits
01/08/2017,26,34,5,4,Honey Bee,James,Small pop. Mowed. Few fruits
01/08/2017,26,34,6,10,Honey Bee,James,Small pop. Mowed. Few fruits
01/08/2017,27,47,1,8,Syrphid,Cindy,
01/08/2017,27,32,1,2,Syrphid,James,
01/08/2017,27,32,2,16,Honey Bee,James,
01/08/2017,27,32,3,3,Honey Bee,James,
